param N_paletes := 10;  # 50 paletes
param N_niveis := 10;   # 50 niveis
param N_rack := 4;
param HMaxRack := 600;

param Palete: 
	1	2	3	4	:=
1	257	109	800	31
2	257	109	800	31
3	258	79	800	29
4	258	79	800	29
5	259	79	800	29
6	259	79	800	29
7	260	61	800	23
8	261	61	800	23
9	262	79	800	15
10	262	39	800	15	;


param Nivel:
	1	2	3	:=
1	1	3200	1
2	2	3200	1
3	3	3200	1
4	2	3200	2
5	3	3200	2
6	4	3200	2
7	3	3200	3
8	4	3200	3
9	5	3200	3
10	4	3200	4
11	5	3200	4
12	6	3200	4	;



